Response ID,"To begin, please tell us which of these is true for your housing during the 2022-2023 academic year?",Do you have someone at CU Boulder you consider a mentor?,What is your likelihood of returning to CU Boulder in fall 2023?,How do you describe your race/ethnicity? Please select all that apply. - Selected Choice,Are you currently receiving financial aid? (Select all that apply),Entry_Type,FirstGen_Status,School_College,Please indicate your level of agreement with each of the following statements. - I belong at CU Boulder.,Please indicate your level of agreement with each of the following statements. - I fit in well at CU Boulder.,Please indicate your level of agreement with each of the following statements. - People at CU Boulder accept me.,Please indicate your level of agreement with each of the following statements. - I feel a connection with the CU Boulder community.,Please indicate your level of agreement with each of the following statements. - People on campus are generally supportive of my individual needs.,Please indicate your level of agreement with each of the following statements. - There are people on campus who are genuinely interested in me as a person.,Please indicate your level of agreement with each of the following statements. - There are people on campus who care about my future.
R_UQSfMRdjyzaKru1,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree
R_2v7WXd5EMspOFeY,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_1M05je3J0rvqMM3,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,Program in Exploratory Studies,Agree,Agree,Agree,Slightly agree,Agree,Agree,Agree
R_3m329iG2hV7eazP,I lived in housing provided by CU for the entire year,Not sure,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin","Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,1,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_12LpwioHcYUlO4z,I lived in housing provided by CU for the entire year,No,Certain,"Asian or Asian American,White or European American","Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Agree,Slightly agree,Agree,Slightly agree
R_12zFgn6fYoq5CGN,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin",Not sure,F,0,Pgm Environmental Design UGRD,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Disagree,Disagree,Slightly disagree
R_3Dc30eUJXsVpB3v,I lived in housing provided by CU for the entire year,Yes,Almost certain,White or European American,No,F,0,Program in Exploratory Studies,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_1K7HoOa28Pmqrg6,I lived in housing provided by CU for part of the year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Agree,Slightly agree,Agree,Agree,Agree,Agree,Agree
R_XYsrJ7j5eJonbOh,I lived in housing provided by CU for the entire year,Yes,Certain,Middle Eastern or North African,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Disagree,Strongly disagree,Disagree,Slightly disagree,Slightly agree,Agree,Agree
R_tVXhpPW1zuTsk0x,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Pgm Environmental Design UGRD,Agree,Agree,Agree,Agree,Slightly agree,Agree,Agree
R_1obtz9qo0r8tETu,I did not live in housing provided by CU this year,Yes,Certain,White or European American,Prefer not to state,T,1,College Arts & Sciences UGRD,Agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Agree,Strongly agree
R_3Ny9dwCxNNnWjGJ,I lived in housing provided by CU for the entire year,No,Certain,White or European American,Not sure,F,0,Pgm Environmental Design UGRD,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Agree
R_3saKJNvJWgAyA2Z,I lived in housing provided by CU for the entire year,No,Unlikely,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree
R_0k78tLse4ZNtA5P,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
R_BP6uejA5xWACW4h,I lived in housing provided by CU for the entire year,Not sure,Almost certain,White or European American,Not sure,F,0,Leeds School of Business UGRD,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree
R_sNZgoX1UrbJX9oR,I lived in housing provided by CU for the entire year,Yes,Unlikely,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Agree,Agree
R_Dw2YzgzTM7ZtQWt,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Slightly disagree,Slightly agree,Agree,Agree
R_2f9zIWaJheSTXy4,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Slightly agree,Agree,Slightly agree
R_DuZ1OtHMx1pOAwh,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Program in Exploratory Studies,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly agree,Agree,Slightly agree
R_1LMRBf3NKBHUbOQ,I lived in housing provided by CU for the entire year,Yes,Certain,Asian or Asian American,No,F,0,Program in Exploratory Studies,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_1etmXN3KjB5MTFa,I lived in housing provided by CU for the entire year,No,Unlikely,White or European American,"Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Slightly disagree,Strongly disagree
R_3kNVZ2GhoPsZcav,I did not live in housing provided by CU this year,No,Certain,White or European American,"Yes, scholarships and/or grants",T,1,Coll Engineering & AppSci UGRD,Agree,Agree,Strongly agree,Slightly agree,Agree,Strongly agree,Strongly agree
R_1IjdZ5KlF3eXZ10,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Slightly agree,Slightly disagree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Agree
R_cMavLgVEPnIuVkl,I did not live in housing provided by CU this year,Yes,Certain,Asian or Asian American,No,T,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
R_2BgL8bV3hACG0Pq,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Program in Exploratory Studies,Strongly agree,Strongly agree,Agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree
R_vxjdghQha9u9TG1,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, federal loans (through Department of Education)",F,0,Program in Exploratory Studies,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_R209aEdKALzTTJD,I lived in housing provided by CU for the entire year,Yes,Unlikely,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American","Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,Leeds School of Business UGRD,Disagree,Disagree,Strongly agree,Slightly agree,Agree,Strongly agree,Strongly agree
R_paU5tDKgAoTlYZ3,I lived in housing provided by CU for the entire year,No,Likely,Asian or Asian American,"Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree
R_24c354ne9WUKIPC,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,1,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
R_1M5kwnivOa82hys,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Slightly agree,Slightly agree,Agree,Agree,Agree,Strongly agree,Strongly agree
R_2qmHWf7LAiY9SOw,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, federal loans (through Department of Education)",F,1,Program in Exploratory Studies,Agree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree
R_2vkuKEHzp2mB2HK,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,Agree,Strongly agree,Agree,Agree,Agree,Slightly agree,Agree
R_1LhziIjAT46HuRS,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Leeds School of Business UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3HY8TUEOKcRaahr,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin","Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Strongly agree
R_1mmGYdWqyFWuKfw,I lived in housing provided by CU for the entire year,Yes,Certain,Prefer not to state,Prefer not to state,F,0,Program in Exploratory Studies,Slightly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree
R_1jlxXcyXY50qKiQ,I lived in housing provided by CU for the entire year,Yes,Certain,"Asian or Asian American,White or European American",Not sure,F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
R_e9fOEsjdV1Cy85X,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Slightly agree,Slightly agree,Agree
R_1ruyPrlwBCdc4nW,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin",No,F,0,School of Education UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_1OvkH8vOOdhShIk,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_3iUPs4kDqIRIPHS,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
R_WuJS3ZBcgII4Zmp,I lived in housing provided by CU for the entire year,No,Certain,"Asian or Asian American,White or European American",No,F,0,"Coll of Media,Comm&Info UGRD",Agree,Agree,Agree,Agree,Slightly agree,Agree,Slightly agree
R_24Rp6Il8y9RLDb3,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_2tyV9f6KS0jDrbc,I lived in housing provided by CU for the entire year,Yes,Almost certain,White or European American,"Yes, private loans (through a bank or private lender)",F,1,Leeds School of Business UGRD,Slightly agree,Slightly agree,Agree,Agree,Slightly agree,Agree,Agree
R_1PbJAKAP2T08oWB,I did not live in housing provided by CU this year,No,Almost certain,White or European American,"Yes, federal loans (through Department of Education)",T,1,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Slightly agree,Slightly agree
R_2ven1c0wEwvk9a5,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Disagree,Disagree,Slightly disagree,Disagree,Slightly disagree,Slightly agree,Slightly agree
R_1psTf65Vsz7E3Je,I lived in housing provided by CU for the entire year,No,Likely,White or European American,Not sure,F,0,College Arts & Sciences UGRD,Disagree,Slightly disagree,,Disagree,Disagree,,
R_2OT1t9LXGmbB2Qq,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Leeds School of Business UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_2wpP8nxGZgi6ow0,I lived in housing provided by CU for the entire year,Yes,Certain,"Asian or Asian American,White or European American",Not sure,F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_RWwLkv8pnTvAHQd,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
R_bk2PULwCzDeNUml,I lived in housing provided by CU for the entire year,No,Likely,Native Hawaiian or Pacific Islander,"Yes, scholarships and/or grants",T,0,College Arts & Sciences UGRD,,Disagree,Slightly agree,Slightly disagree,Agree,Strongly agree,Agree
R_sBYeyagbv7asGMp,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Program in Exploratory Studies,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
R_3G6Q87D9hXwZYKU,I lived in housing provided by CU for the entire year,Not sure,Certain,Asian or Asian American,"Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Slightly agree,Slightly disagree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree
R_22Kxq75BUakN6O3,I lived in housing provided by CU for the entire year,Yes,Certain,Asian or Asian American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,1,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Agree,Slightly disagree,Disagree,Strongly agree,Strongly agree
R_1ifZANxTZoxDzlD,I lived in housing provided by CU for the entire year,No,Likely,White or European American,No,F,1,Program in Exploratory Studies,Slightly agree,Agree,Slightly agree,Slightly disagree,Agree,Slightly agree,Agree
R_1gIKrWLejxhWlNl,I lived in housing provided by CU for the entire year,Yes,Likely,"Native American, American Indian, or Alaska Native,White or European American","Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,1,"Coll of Media,Comm&Info UGRD",Slightly agree,Slightly agree,Agree,Agree,Agree,Agree,Slightly agree
R_2EuVGYTfRaf8NRr,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,Program in Exploratory Studies,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
R_2TMLXrQxricnic8,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, private loans (through a bank or private lender)",F,0,Pgm Environmental Design UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_12mCaNhAt9BCVPk,I lived in housing provided by CU for the entire year,No,Unlikely,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Disagree,Disagree,Slightly disagree,Strongly disagree,Disagree,Slightly agree,Disagree
R_3DkmBfG47rjWwva,I lived in housing provided by CU for the entire year,Yes,Almost certain,Prefer not to state,Prefer not to state,F,0,College Arts & Sciences UGRD,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Disagree
R_cGzGSDhGaBSwmc1,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,No,F,0,"Coll of Media,Comm&Info UGRD",Agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree
R_3kvaZvpzZ02yvvD,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,No,F,0,College Arts & Sciences UGRD,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly agree
R_uy8FpTrSMlFDcDD,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,School of Education UGRD,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree
R_2ylKniuHWYmTlr8,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Leeds School of Business UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3DiNyJionTvnLCm,I did not live in housing provided by CU this year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,Agree,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,Agree
R_2EBv3rH8n5CSd9u,I lived in housing provided by CU for the entire year,No,Certain,Asian or Asian American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree
R_2qekm78uU35rRSe,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,Leeds School of Business UGRD,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree
R_ANdJqoLStFgYZq1,I lived in housing provided by CU for the entire year,No,Likely,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
R_1ieYEonTM6pdKlu,I did not live in housing provided by CU this year,Yes,Certain,White or European American,Not sure,F,0,Leeds School of Business UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_25QnsvA4TYi906e,I did not live in housing provided by CU this year,Yes,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",T,0,Leeds School of Business UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_R49PEbbrHNQFBsd,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_2YQAwbYSuPzfaOb,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Agree,Agree,Agree,Strongly agree,Agree
R_2AKgRqz1Ct8j5Oa,I lived in housing provided by CU for part of the year,Yes,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Disagree,Strongly disagree,,Disagree,Agree,Slightly disagree,Agree
R_STApgUWX8UCNZ0R,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,Program in Exploratory Studies,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3Gr0lTwNtkIXGur,I did not live in housing provided by CU this year,Yes,Certain,White or European American,No,T,0,Coll Engineering & AppSci UGRD,Slightly disagree,Slightly agree,Agree,Slightly disagree,Agree,Agree,Slightly agree
R_1LO1N7B3FCaZfOv,I did not live in housing provided by CU this year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin","Yes, scholarships and/or grants",T,0,Leeds School of Business UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_2aEpKqZh8XwvnCA,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
R_2zPa5AKXz96g78H,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin",No,F,0,Program in Exploratory Studies,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_1LUMIhKvEIbnMG1,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",T,1,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Slightly agree,Agree
R_2v6bKDg8QKS0Vxx,I did not live in housing provided by CU this year,No,Almost certain,"Native Hawaiian or Pacific Islander,White or European American","Yes, scholarships and/or grants",T,0,College Arts & Sciences UGRD,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Agree,Slightly agree
R_1lzsnQ383ZMvs4Q,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,No,F,0,College Arts & Sciences UGRD,Slightly disagree,Slightly disagree,Agree,Strongly disagree,Slightly agree,Slightly agree,Slightly agree
R_2sbebDQ2clHTH1D,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Leeds School of Business UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3ISPfDzfuUP1goo,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Slightly agree
R_8HUHwMumjJpfoJ3,I lived in housing provided by CU for the entire year,No,Unlikely,White or European American,No,F,0,College Arts & Sciences UGRD,Disagree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Agree,Slightly agree
